x,Firm,City,State,Seed,Early Vent.,Late Vent.,# of Funds,Total Fund Raised ($M),# of Investments,# of Exits,1,#,2,#_2,3,#_3,4,#_4,5,#_5,Website,Crunchbase URL,LinkedIn URL,col_25,State_2,Count,linkedin-private-codex,linkedin-private-claude,linkedin-private-cursor
,50 Years VC,San Francisco,CA,1,1,,1,,26,,Biotechnology,8,Health Care,4,Advanced Materials,3,Medical,3,Food & Beverage,2,fifty.vc,https://www.crunchbase.com/organization/fifty-years-fund,https://www.linkedin.com/company/fifty-years,x,FL,11,,https://www.linkedin.com/in/sethbannon,https://www.linkedin.com/in/sethbannon
,500 Startups,Mountain View,CA,1,1,,23,$506.2,"1,719",166,Mobile,204,E-Commerce,189,Software,172,SaaS,161,Enterprise Software,121,500.co,https://www.crunchbase.com/organization/500-startups#section-web-traffic-by-similarweb,https://www.linkedin.com/company/500-startups,x,WA,10,"https://www.linkedin.com/in/hsuan-yih-shawn-chu-57385b43, https://www.linkedin.com/in/jiun-hsien-lee-69899b66, https://www.linkedin.com/in/amjadahmadvc, https://www.linkedin.com/in/arianne-ren%C3%A9e-dilts, https://www.linkedin.com/in/brinda-dutta-6039902b, https://www.linkedin.com/in/ceciezquerro, https://www.linkedin.com/in/damaris-mendoza-loera, https://www.linkedin.com/in/daniela-p%C3%A9rez-barr%C3%B3n-712286109, https://www.linkedin.com/in/didierquirozceballos, https://www.linkedin.com/in/donnacunanan, https://www.linkedin.com/in/irenish, https://www.linkedin.com/in/james-wu-74b384, https://www.linkedin.com/in/juinshern-tong, https://www.linkedin.com/in/meicheltan, https://www.linkedin.com/in/paulinaszyrmer, https://www.linkedin.com/in/regina-zurutuza-20018b64, https://www.linkedin.com/in/rlomeli88, https://www.linkedin.com/in/santiago-zavala-47a68b7, https://www.linkedin.com/in/-kristen-cooper, https://www.linkedin.com/in/abdulrahman-aljiffry-23834738, https://www.linkedin.com/in/adelyn-c-949b10103, https://www.linkedin.com/in/ai-lin-ng-52347310, https://www.linkedin.com/in/alaaibrahimm, https://www.linkedin.com/in/alaamurabit, https://www.linkedin.com/in/amal-bin-jurays-a65a6b185, https://www.linkedin.com/in/amaldokhan, https://www.linkedin.com/in/amalenan, https://www.linkedin.com/in/ana-uribe-84528b56, https://www.linkedin.com/in/analuciaforero, https://www.linkedin.com/in/anna-saltykova, https://www.linkedin.com/in/arief-bin-johan-alimin, https://www.linkedin.com/in/ashlynbmyers, https://www.linkedin.com/in/atika-french, https://www.linkedin.com/in/bedyyang, https://www.linkedin.com/in/carmenhoong, https://www.linkedin.com/in/carolina-acosta-tovany, https://www.linkedin.com/in/carrieliauw, https://www.linkedin.com/in/charlotte-odell-0070ab70, https://www.linkedin.com/in/chrissyhu, https://www.linkedin.com/in/christine-chan-ee-yin-0b691894, https://www.linkedin.com/in/christinesltsai, https://www.linkedin.com/in/christophferguson, https://www.linkedin.com/in/claytonbryan, https://www.linkedin.com/in/courtneyjpowell, https://www.linkedin.com/in/cynthiaylchin, https://www.linkedin.com/in/daif-alrajhi, https://www.linkedin.com/in/daniela-malagon-alonso-76b88241, https://www.linkedin.com/in/demolaadegbite, https://www.linkedin.com/in/eileen-liew-bba8817a, https://www.linkedin.com/in/emily-lozano-ops, https://www.linkedin.com/in/emilyprintz, https://www.linkedin.com/in/emma-kelly21, https://www.linkedin.com/in/felicia-chia, https://www.linkedin.com/in/gemma-e-277605156, https://www.linkedin.com/in/grace-t-52685a221, https://www.linkedin.com/in/halina-jael-abu-bakar-b821a3128, https://www.linkedin.com/in/jakeclawson, https://www.linkedin.com/in/jamie-soo, https://www.linkedin.com/in/jeff-k-matsuda, https://www.linkedin.com/in/jenny-chin-sian-theng-290a0317b, https://www.linkedin.com/in/joanna-goh-a9a954a1, https://www.linkedin.com/in/justin-koo-cfa, https://www.linkedin.com/in/kaavya-gowda-294247b4, https://www.linkedin.com/in/karengvillanueva, https://www.linkedin.com/in/katerina-zlobina-2709821b7, https://www.linkedin.com/in/kevinwinsenchandra, https://www.linkedin.com/in/khailee, https://www.linkedin.com/in/kratingpoonpol, https://www.linkedin.com/in/leonardelee, https://www.linkedin.com/in/liamdigan, https://www.linkedin.com/in/liane-c-k-affy, https://www.linkedin.com/in/luisignaciocc, https://www.linkedin.com/in/lyndylien, https://www.linkedin.com/in/ma-ruf-muhammad-fajrin-8ba584111, https://www.linkedin.com/in/marcela-olivares-4b2b5311a, https://www.linkedin.com/in/melfauzi, https://www.linkedin.com/in/mercadojamp, https://www.linkedin.com/in/min-kim-00662232, https://www.linkedin.com/in/minnieang, https://www.linkedin.com/in/mirandagahagan, https://www.linkedin.com/in/misaki-majima-15089222a, https://www.linkedin.com/in/mohammad-khdair-cma, https://www.linkedin.com/in/monique-arnold-30491b11b, https://www.linkedin.com/in/mostafa-salem-191a5a159, https://www.linkedin.com/in/myerschristina, https://www.linkedin.com/in/naranpatthi, https://www.linkedin.com/in/natavudh, https://www.linkedin.com/in/nickdavison, https://www.linkedin.com/in/nico-gamboa-836663346, https://www.linkedin.com/in/noemi-vera, https://www.linkedin.com/in/nour-akiel-947b68194, https://www.linkedin.com/in/oksanavodonos, https://www.linkedin.com/in/pahrada-mameaw, https://www.linkedin.com/in/paulcabrera123, https://www.linkedin.com/in/pauleyoo, https://www.linkedin.com/in/perthkrungkraipetch, https://www.linkedin.com/in/pichetpatchandrema, https://www.linkedin.com/in/pohsoon, https://www.linkedin.com/in/ramasworupha-nair-257792191, https://www.linkedin.com/in/reem-khamis, https://www.linkedin.com/in/samanthakiel, https://www.linkedin.com/in/santosvieira, https://www.linkedin.com/in/shahrilibrahim, https://www.linkedin.com/in/sheila-reyna-flores-5a6385115, https://www.linkedin.com/in/shill515, https://www.linkedin.com/in/stephaniecobos, https://www.linkedin.com/in/suzianak, https://www.linkedin.com/in/tonywang1, https://www.linkedin.com/in/victor-nge-jik-shern, https://www.linkedin.com/in/vishalharnal, https://www.linkedin.com/in/weixensoon, https://www.linkedin.com/in/yeeshimtan, https://www.linkedin.com/in/yileenkoh","https://www.linkedin.com/in/hsuan-yih-shawn-chu-57385b43, https://www.linkedin.com/in/jiun-hsien-lee-69899b66, https://www.linkedin.com/in/amjadahmadvc, https://www.linkedin.com/in/arianne-ren%C3%A9e-dilts, https://www.linkedin.com/in/brinda-dutta-6039902b, https://www.linkedin.com/in/ceciezquerro, https://www.linkedin.com/in/damaris-mendoza-loera, https://www.linkedin.com/in/daniela-p%C3%A9rez-barr%C3%B3n-712286109, https://www.linkedin.com/in/didierquirozceballos, https://www.linkedin.com/in/donnacunanan, https://www.linkedin.com/in/irenish, https://www.linkedin.com/in/james-wu-74b384, https://www.linkedin.com/in/juinshern-tong, https://www.linkedin.com/in/meicheltan, https://www.linkedin.com/in/paulinaszyrmer, https://www.linkedin.com/in/regina-zurutuza-20018b64, https://www.linkedin.com/in/rlomeli88, https://www.linkedin.com/in/santiago-zavala-47a68b7, https://www.linkedin.com/in/-kristen-cooper, https://www.linkedin.com/in/abdulrahman-aljiffry-23834738, https://www.linkedin.com/in/adelyn-c-949b10103, https://www.linkedin.com/in/ai-lin-ng-52347310, https://www.linkedin.com/in/alaaibrahimm, https://www.linkedin.com/in/alaamurabit, https://www.linkedin.com/in/amal-bin-jurays-a65a6b185, https://www.linkedin.com/in/amaldokhan, https://www.linkedin.com/in/amalenan, https://www.linkedin.com/in/ana-uribe-84528b56, https://www.linkedin.com/in/analuciaforero, https://www.linkedin.com/in/anna-saltykova, https://www.linkedin.com/in/arief-bin-johan-alimin, https://www.linkedin.com/in/ashlynbmyers, https://www.linkedin.com/in/atika-french, https://www.linkedin.com/in/bedyyang, https://www.linkedin.com/in/carmenhoong, https://www.linkedin.com/in/carolina-acosta-tovany, https://www.linkedin.com/in/carrieliauw, https://www.linkedin.com/in/charlotte-odell-0070ab70, https://www.linkedin.com/in/chrissyhu, https://www.linkedin.com/in/christine-chan-ee-yin-0b691894, https://www.linkedin.com/in/christinesltsai, https://www.linkedin.com/in/christophferguson, https://www.linkedin.com/in/claytonbryan, https://www.linkedin.com/in/courtneyjpowell, https://www.linkedin.com/in/cynthiaylchin, https://www.linkedin.com/in/daif-alrajhi, https://www.linkedin.com/in/daniela-malagon-alonso-76b88241, https://www.linkedin.com/in/demolaadegbite, https://www.linkedin.com/in/eileen-liew-bba8817a, https://www.linkedin.com/in/emily-lozano-ops, https://www.linkedin.com/in/emilyprintz, https://www.linkedin.com/in/emma-kelly21, https://www.linkedin.com/in/felicia-chia, https://www.linkedin.com/in/gemma-e-277605156, https://www.linkedin.com/in/grace-t-52685a221, https://www.linkedin.com/in/halina-jael-abu-bakar-b821a3128, https://www.linkedin.com/in/jakeclawson, https://www.linkedin.com/in/jamie-soo, https://www.linkedin.com/in/jeff-k-matsuda, https://www.linkedin.com/in/jenny-chin-sian-theng-290a0317b, https://www.linkedin.com/in/joanna-goh-a9a954a1, https://www.linkedin.com/in/justin-koo-cfa, https://www.linkedin.com/in/kaavya-gowda-294247b4, https://www.linkedin.com/in/karengvillanueva, https://www.linkedin.com/in/katerina-zlobina-2709821b7, https://www.linkedin.com/in/kevinwinsenchandra, https://www.linkedin.com/in/khailee, https://www.linkedin.com/in/kratingpoonpol, https://www.linkedin.com/in/leonardelee, https://www.linkedin.com/in/liamdigan, https://www.linkedin.com/in/liane-c-k-affy, https://www.linkedin.com/in/luisignaciocc, https://www.linkedin.com/in/lyndylien, https://www.linkedin.com/in/ma-ruf-muhammad-fajrin-8ba584111, https://www.linkedin.com/in/marcela-olivares-4b2b5311a, https://www.linkedin.com/in/melfauzi, https://www.linkedin.com/in/mercadojamp, https://www.linkedin.com/in/min-kim-00662232, https://www.linkedin.com/in/minnieang, https://www.linkedin.com/in/mirandagahagan, https://www.linkedin.com/in/misaki-majima-15089222a, https://www.linkedin.com/in/mohammad-khdair-cma, https://www.linkedin.com/in/monique-arnold-30491b11b, https://www.linkedin.com/in/mostafa-salem-191a5a159, https://www.linkedin.com/in/myerschristina, https://www.linkedin.com/in/naranpatthi, https://www.linkedin.com/in/natavudh, https://www.linkedin.com/in/nickdavison, https://www.linkedin.com/in/nico-gamboa-836663346, https://www.linkedin.com/in/noemi-vera, https://www.linkedin.com/in/nour-akiel-947b68194, https://www.linkedin.com/in/oksanavodonos, https://www.linkedin.com/in/pahrada-mameaw, https://www.linkedin.com/in/paulcabrera123, https://www.linkedin.com/in/pauleyoo, https://www.linkedin.com/in/perthkrungkraipetch, https://www.linkedin.com/in/pichetpatchandrema, https://www.linkedin.com/in/pohsoon, https://www.linkedin.com/in/ramasworupha-nair-257792191, https://www.linkedin.com/in/reem-khamis, https://www.linkedin.com/in/samanthakiel, https://www.linkedin.com/in/santosvieira, https://www.linkedin.com/in/shahrilibrahim, https://www.linkedin.com/in/sheila-reyna-flores-5a6385115, https://www.linkedin.com/in/shill515, https://www.linkedin.com/in/stephaniecobos, https://www.linkedin.com/in/suzianak, https://www.linkedin.com/in/tonywang1, https://www.linkedin.com/in/victor-nge-jik-shern, https://www.linkedin.com/in/vishalharnal, https://www.linkedin.com/in/weixensoon, https://www.linkedin.com/in/yeeshimtan, https://www.linkedin.com/in/yileenkoh","https://www.linkedin.com/in/christinesltsai, https://www.linkedin.com/in/timchae, https://www.linkedin.com/in/bedyyang, https://www.linkedin.com/in/courtneyjpowell, https://www.linkedin.com/in/pauleyoo, https://www.linkedin.com/in/khailee, https://www.linkedin.com/in/tonywang1, https://www.linkedin.com/in/santiago-zavala-47a68b7, https://www.linkedin.com/in/vishalharnal, https://www.linkedin.com/in/amjadahmadvc, https://www.linkedin.com/in/amaldokhan"
,645 Ventures,New York,NY,1,1,,2,$48.0,37,4,Software,6,SaaS,5,Enterprise Software,5,E-Commerce,4,Fashion,3,645ventures.com,https://www.crunchbase.com/organization/645-angels#section-exits,https://www.linkedin.com/company/645-ventures,x,UT,10,"https://www.linkedin.com/in/aholidayiii, https://www.linkedin.com/in/nnamdiokike, https://www.linkedin.com/in/parulsingh","https://www.linkedin.com/in/nnamdiokike, https://www.linkedin.com/in/aholidayiii, https://www.linkedin.com/in/vardangattani, https://www.linkedin.com/in/willyhess","https://www.linkedin.com/in/nnamdiokike, https://www.linkedin.com/in/aholidayiii, https://www.linkedin.com/in/jon-h-smith-84497146, https://www.linkedin.com/in/meredith-tibbals-8a0430111, https://www.linkedin.com/in/parulsingh"
,7 Gate Ventures,San Francisco,CA,1,1,,,,18,2,Health Care,3,Software,3,Big Data,3,Information Technology,3,Mobile,3,7gate.vc,https://www.crunchbase.com/organization/7-gate-ventures,https://www.linkedin.com/company/7gate-ventures/,x,NC,10,,https://www.linkedin.com/in/alirezarahnema,https://www.linkedin.com/in/alirezarahnema
,9 Mile Labs,Seattle,WA,1,1,,1,$0.9,39,1,Software,12,Internet,9,Mobile,8,E-Commerce,6,SaaS,4,9milelabs.com,https://www.crunchbase.com/organization/9mile-labs,https://www.linkedin.com/company/9mile-labs,x,DC,9,,"https://www.linkedin.com/in/cryptocowboy, https://www.linkedin.com/in/ivanbraiker, https://www.linkedin.com/in/robladams","https://www.linkedin.com/in/sanjaypuri, https://www.linkedin.com/in/kevincroy"
,A-Force Ventures,San Francisco,CA,1,1,,,,,,,,,,,,,,,,aforceventures.com,https://www.crunchbase.com/organization/a-force-ventures,https://www.linkedin.com/company/a-force-ventures/,x,GA,9,,https://www.linkedin.com/in/vlasso,https://www.linkedin.com/in/vlasso
,Acceleprise,Washington D.C.,DC,1,1,,2,$10.5,145,8,SaaS,23,Enterprise Software,18,Software,17,Artificial Intelligence,10,Internet,9,acceleprise.vc,https://www.crunchbase.com/organization/acceleprise-ventures,https://www.linkedin.com/company/acceleprise-san-francisco/,x,NJ,9,,"https://www.linkedin.com/in/michaelcardamone, https://www.linkedin.com/in/paulmandell","https://www.linkedin.com/in/michaelcardamone, https://www.linkedin.com/in/paulmandell"
,Acorn Pacific Ventures,Santa Clara,CA,1,1,1,,,11,,Software,4,Manufacturing,2,Internet of Things,2,Enterprise,1,Therapeutics,1,acornpacific.ventures,https://www.crunchbase.com/organization/acornpacific-ventures,,x,CT,9,,"https://www.linkedin.com/in/derek-chau-b270116, https://www.linkedin.com/in/howard-chau-3a80037, https://www.linkedin.com/in/bliao999, https://www.linkedin.com/in/davidwutw-0b038855","https://www.linkedin.com/in/howard-chau-3a80037, https://www.linkedin.com/in/derek-chau-b270116, https://www.linkedin.com/in/bliao999"
,Active Capital,San Antonio,TX,1,,,1,$13.1,8,,Software,4,SaaS,3,Marketing,2,Machine Learning,2,Cmputer,2,activecapital.com,https://www.crunchbase.com/organization/active-capital,linkedin.com/company/25040720,x,MO,8,,,"https://www.linkedin.com/in/kevinminnick, https://www.linkedin.com/in/pcondon, https://www.linkedin.com/in/chris-saum-84938047, https://www.linkedin.com/in/pat-matthews, https://www.linkedin.com/in/active-capital-aa370457, https://www.linkedin.com/in/helah-alnamer"
,ActOne Ventures,Los Angeles,CA,1,1,,1,,11,,Health Care,2,SaaS,2,Mobile,2,Education,1,Wearables,1,actoneventures.com,https://www.crunchbase.com/organization/act-one-ventures,https://www.linkedin.com/company/act-one-ventures-lp/,x,WI,5,,"https://www.linkedin.com/in/michaelsilton, https://www.linkedin.com/in/alguerrero, https://www.linkedin.com/in/gabrielacamilli, https://www.linkedin.com/in/wendymwill","https://www.linkedin.com/in/alguerrero, https://www.linkedin.com/in/michaelsilton, https://www.linkedin.com/in/israel-m-29589689"
,Advancit Capital,Norwood,MA,1,1,,2,$65.0,103,15,Digital Media,13,Internet,11,Media & Intertaiment,11,Social Media,10,Software,9,advancitcapital.com,https://www.crunchbase.com/organization/advancit-capital#section-exits,https://www.linkedin.com/company/advancit-capital/,x,IN,5,,https://www.linkedin.com/in/jon-miller-209406156,"https://www.linkedin.com/in/jasonostheimer, https://www.linkedin.com/in/jon-miller-209406156"
,Advantage Ventures,Los Angeles,CA,1,,,,,,,,,,,,,,,,,advantageventures.com,https://www.crunchbase.com/organization/advantage-networks,linkedin.com/company/18687602,x,NV,5,,,"https://www.linkedin.com/in/shannon-tinsley-27186740, https://www.linkedin.com/in/braden-hernandez-741b0a276, https://www.linkedin.com/in/alex-capsas, https://www.linkedin.com/in/bruce-joseph-moschella, https://www.linkedin.com/in/megan-mccaffery, https://www.linkedin.com/in/robbie-taves-277a6b121, https://www.linkedin.com/in/gipson-amoako-a4060b1ab, https://www.linkedin.com/in/shawn-wikoff-699517114"
,Afore Capital,San Francisco,CA,1,,,1,$47.0,26,,Software,4,Supply Chain Management,3,Health Care,2,SaaS,2,Mobile App,2,afore.vc,https://www.crunchbase.com/organization/afore-capital,linkedin.com/company/18165580,x,MD,4,https://www.linkedin.com/in/gjainvc,"https://www.linkedin.com/in/anamitrab, https://www.linkedin.com/in/gjainvc, https://www.linkedin.com/in/jackmcclelland, https://www.linkedin.com/in/lauradu","https://www.linkedin.com/in/gjainvc, https://www.linkedin.com/in/anamitrab, https://www.linkedin.com/in/jackmcclelland, https://www.linkedin.com/in/lauradu"
,AI Capital,Parker,CO,1,,,,,1,,E-Commerce,1,Travel,1,Software,1,Information Technology,1,Information Service,1,ai.vc,https://www.crunchbase.com/organization/good-ai-capital,linkedin.com/company/10262192,x,TN,4,,https://www.linkedin.com/in/darwinling,"https://www.linkedin.com/in/nteagarden, https://www.linkedin.com/in/cookelizabeth, https://www.linkedin.com/in/andrewmaus, https://www.linkedin.com/in/sspangler, https://www.linkedin.com/in/joshuadsutton, https://www.linkedin.com/in/havasi, https://www.linkedin.com/in/genepodsiadlo, https://www.linkedin.com/in/rosejn, https://www.linkedin.com/in/joel-stennett"
,AI8 Ventures,San Francisco,CA,1,1,,,,1,,Collaboration,1,Internet,1,Enterprise Application,1,Transaction Processing,1,Banking,1,ai8ventures.com,https://www.crunchbase.com/organization/ai8-ventures,https://www.linkedin.com/company/ai8ventures/,x,OR,4,,"https://www.linkedin.com/in/carlosochoavc, https://www.linkedin.com/in/schrobie, https://www.linkedin.com/in/herlynhurtado, https://www.linkedin.com/in/raul-avila-carbajal","https://www.linkedin.com/in/carlosochoavc, https://www.linkedin.com/in/schrobie, https://www.linkedin.com/in/herlynhurtado, https://www.linkedin.com/in/raul-avila-carbajal"
,Alder Group,Marietta,GA,1,,,,,,,,,,,,,,,,,alderasset.com,,linkedin.com/company/10635597,x,AZ,3,,,"https://www.linkedin.com/in/ben-griffiths-06b78714, https://www.linkedin.com/in/blake-goggins-07a221110, https://www.linkedin.com/in/ramal-weldon-a72230338, https://www.linkedin.com/in/matt-marwood-bb938bb6, https://www.linkedin.com/in/josh-northcott-03aa94139, https://www.linkedin.com/in/christianna-gonzales-cta-6216aa1b0"
,AllegisCyber,San Francisco,CA,1,,,2,$270.0,101,24,Security,13,Network Security,10,Cyber Security,10,Software,10,Analytics,8,allegiscap.com,https://www.crunchbase.com/organization/allegis-capital,linkedin.com/company/50855,x,MN,3,,"https://www.linkedin.com/in/bob-ackerman-a233336, https://www.linkedin.com/in/spencertall, https://www.linkedin.com/in/pete-bodine-5601555, https://www.linkedin.com/in/mfeiertag","https://www.linkedin.com/in/bob-ackerman-a233336, https://www.linkedin.com/in/spencertall, https://www.linkedin.com/in/pete-bodine-5601555, https://www.linkedin.com/in/mfeiertag, https://www.linkedin.com/in/jennifer-scherbel-a06b8220, https://www.linkedin.com/in/ryan-parker-93ba92, https://www.linkedin.com/in/ddewalt, https://www.linkedin.com/in/michaeleugeneaiello, https://www.linkedin.com/in/tieades"
,Alliance of Angels,Seattle,WA,1,,,1,$5.3,180,37,Software,26,SaaS,15,Mobile,15,Health Care,14,E-Commerce,13,allianceofangels.com,https://www.crunchbase.com/organization/alliance-of-angels,linkedin.com/company/54035,x,DE,1,,"https://www.linkedin.com/in/angiecparker, https://www.linkedin.com/in/maxeffgen, https://www.linkedin.com/in/beth-morgan-7625626a, https://www.linkedin.com/in/davidlitwack","https://www.linkedin.com/in/angiecparker, https://www.linkedin.com/in/maxeffgen, https://www.linkedin.com/in/beth-morgan-7625626a, https://www.linkedin.com/in/davidlitwack"
,AllMobile Fund,San Francisco,CA,1,,,,,1,,Cloud Computing,1,Analytics,1,Software,1,,,,,allmobilefund.com,https://www.crunchbase.com/organization/allmobile-fund,linkedin.com/company/6628786,x,NE,2,,,"https://www.linkedin.com/in/what-mobile-462b971ba, https://www.linkedin.com/in/purushottam-shastri-1253a02a9, https://www.linkedin.com/in/mike-williams-491a877, https://www.linkedin.com/in/deepti-panicker-11935615, https://www.linkedin.com/in/jason-ivy-47a2825, https://www.linkedin.com/in/what-mobile-20b42027b"
,Alpha Venture Partners,New York,NY,1,1,,2,$28.3,2,,Real Time,1,CRM,1,E-Commerce,1,Marketing,1,Publishing,1,alphavp.com,https://www.crunchbase.com/organization/alpha-venture-partners,https://www.linkedin.com/company/alpha-venture-partners/,x,MT,2,,https://www.linkedin.com/in/stevebrotman,https://www.linkedin.com/in/stevebrotman
,AlphaPrime Ventures,New York,NY,1,1,,,,7,1,Software,3,Analytics,2,Big Data,2,Mobile Advertisement,0,Data Intragation,1,alphaprime.com,https://www.crunchbase.com/organization/alphaprime-ventures,https://www.linkedin.com/company/alphaprime-ventures/,x,RI,2,,,"https://www.linkedin.com/in/bruno-quattrucci-073a95a6, https://www.linkedin.com/in/claudiaiannazzo, https://www.linkedin.com/in/apiol, https://www.linkedin.com/in/joseph-rothman-0ab3b0, https://www.linkedin.com/in/wsmythe, https://www.linkedin.com/in/charlotte-kwon-4ab334124"
,Alpine Meridien,New York,NY,1,1,,1,$9.5,24,2,Digital Media,3,SaaS,3,Software,3,Enterprise Software,3,Marketing,2,alpinemeridian.com,https://www.crunchbase.com/organization/alpine-meridian,https://www.linkedin.com/company/alpine-meridian-inc-/,x,NH,1,,https://www.linkedin.com/in/bill-benedict-049a9,"https://www.linkedin.com/in/bill-benedict-049a9, https://www.linkedin.com/in/kevin-mcgurn-9b238a, https://www.linkedin.com/in/thomasoregan"
,Alta Global Ventures,Lehi,UT,1,,,1,$70.0,51,3,Mobile,5,E-Commerce,3,SaaS,3,Education,2,Security,2,altaglobal.com,https://www.crunchbase.com/organization/alta-ventures-mexico,linkedin.com/company/18723788,x,ND,1,,"https://www.linkedin.com/in/paul-ahlstrom-b7125a197, https://www.linkedin.com/in/brycebenjamin","https://www.linkedin.com/in/paul-ahlstrom-b7125a197, https://www.linkedin.com/in/brycebenjamin"
