Firm Name,Investment Sector,Location (City),Investment Stage,URL,linkedin-private-codex,linkedin-private-claude,linkedin-private-cursor
7 Gate Ventures,"Healthcare, Technology, Internet, Security","San Francisco, CA","Early Stage Venture, Seed",www.7gate.vc,,,"https://www.linkedin.com/in/amirvohooshi, https://www.linkedin.com/in/alireza-rahnema-a430771, https://www.linkedin.com/in/taniya-dewan-7022751b, https://www.linkedin.com/in/krahemtu, https://www.linkedin.com/in/shahabsamimi"
7 Seas Ventures,"Consumer Discretionary, Healthcare, Information Technology, Telecoms, Media, and Communications","Menlo Park, CA","Early Stage, Expansion / Late Stage, Growth, Venture (General)",www.7seasvc.com,,,"https://www.linkedin.com/in/jeff-xiong-09a77b1, https://www.linkedin.com/in/jack-xu-b72017a0, https://www.linkedin.com/in/ivywli, https://www.linkedin.com/in/justintsang"
9Mile Labs,"Technology, Media","Seattle, WA","Early Stage Venture, Seed",www.9milelabs.com,,https://www.linkedin.com/in/sanjaypuri,"https://www.linkedin.com/in/sanjaypuri, https://www.linkedin.com/in/kevincroy"
A Capital Partners,Technology,"Menlo Park, CA",Early Stage Venture,www.acapitalvc.com,,https://www.linkedin.com/in/ronny-conway-a4a38815,https://www.linkedin.com/in/ronny-conway-a4a38815
A-Force Ventures,"Travel, Health, Entertainment, Consumer Products, Fashion, Education","San Francisco, CA","Early Stage, Early Stage: Seed, Early Stage: Start-up",https://www.aforceventures.com/,,https://www.linkedin.com/in/vlasso,https://www.linkedin.com/in/vlasso
Accele Biopharma,"Pharmaceuticals, Technology","Oklahoma City, OK",Early Stage Venture,http://www.accelebio.com,,,"https://www.linkedin.com/in/tami-owens-08b43413, https://www.linkedin.com/in/elaine-hamm-phd"
Acceleprise Ventures,Technology,"Washington, D.C.","Early Stage Venture, Seed",http://www.acceleprise.vc,,"https://www.linkedin.com/in/michaelcardamone,https://www.linkedin.com/in/james-murphy-/","https://www.linkedin.com/in/michaelcardamone, https://www.linkedin.com/in/james-murphy-"
Accelerator Ventures,Technology,"San Francisco, CA","Early Stage, Early Stage: Seed, Early Stage: Start-up",www.acceleratorventures.com,,https://www.linkedin.com/in/alexander01,"https://www.linkedin.com/in/alexander01, https://www.linkedin.com/in/chantalledum"
Acorn Pacific Ventures,Technology,"Santa Clara, CA","Early Stage Venture, Seed, Late Stage Venture",www.acornpacific.ventures,,"https://www.linkedin.com/in/derek-chau-b270116/,https://www.linkedin.com/in/howard-chau-3a80037,https://www.linkedin.com/in/bliao999/,https://www.linkedin.com/in/davidwutw-0b038855/","https://www.linkedin.com/in/howard-chau-3a80037, https://www.linkedin.com/in/derek-chau-b270116, https://www.linkedin.com/in/bliao999"
Activant Capital Group,Technology,"Greenwich, CT","Late Stage Venture, Private Equity",http://www.activantcapital.com,,"https://www.linkedin.com/in/kevinwidmaier/,https://www.linkedin.com/in/stevesarracino/,https://www.linkedin.com/in/andrew-steele-562308a0,https://www.linkedin.com/in/uzinfinity/,https://www.linkedin.com/in/rothkugel/","https://www.linkedin.com/in/kevinwidmaier, https://www.linkedin.com/in/stevesarracino, https://www.linkedin.com/in/andrew-steele-562308a0, https://www.linkedin.com/in/uzinfinity, https://www.linkedin.com/in/rothkugel, https://www.linkedin.com/in/malek-debrabander-5351681a6"
ActOne Ventures,"Software, Technology","Santa Monica, LA","Early Stage, Early Stage: Seed, Early Stage: Start-up",www.actoneventures.com,,"https://www.linkedin.com/in/michaelsilton/,https://www.linkedin.com/in/alguerrero,https://www.linkedin.com/in/israel-m-29589689/","https://www.linkedin.com/in/michaelsilton, https://www.linkedin.com/in/alguerrero, https://www.linkedin.com/in/israel-m-29589689"
Advancit Capital,"Media, Entertainment, Technology","Norwood, MA","Early Stage, Early Stage: Seed",www.advancitcapital.com,,https://www.linkedin.com/in/jon-miller-209406156/,"https://www.linkedin.com/in/jasonostheimer, https://www.linkedin.com/in/jon-miller-209406156"
Aegis Venture Funds,Technology,"New York, NY",Venture (General),www.aegiscapcorp.com,,"https://www.linkedin.com/in/murraybrozinsky/,https://www.linkedin.com/in/bunnyellerin,https://www.linkedin.com/in/glfarrell/,https://www.linkedin.com/in/john-noseworthy-md","https://www.linkedin.com/in/nicholas-petracca-41b55022, https://www.linkedin.com/in/samuel-milbury-470abb98"
Afore Capital,"Technology, Consumer Services","San Francisco, CA",Early Stage Venture,www.afore.vc,https://www.linkedin.com/in/gjainvc,"https://www.linkedin.com/in/gjainvc,https://www.linkedin.com/in/anamitrab/,https://www.linkedin.com/in/jackmcclelland/,https://www.linkedin.com/in/joseph-cardini-a29aa6108/,https://www.linkedin.com/in/lauradu/,https://www.linkedin.com/in/derrickli978/","https://www.linkedin.com/in/gjainvc, https://www.linkedin.com/in/anamitrab, https://www.linkedin.com/in/jackmcclelland, https://www.linkedin.com/in/joseph-cardini-a29aa6108, https://www.linkedin.com/in/lauradu, https://www.linkedin.com/in/derrickli978"
AI8 Ventures,"Business Services, Healthcare, Information Technology","San Francisco, CA","Early Stage: Seed, Early Stage: Start-up",www.ai8ventures.com,,https://www.linkedin.com/in/schrobie,https://www.linkedin.com/in/schrobie
Alaya Capital Partners,Technology,"Sausalito, CA",Early Stage Venture,https://alaya-capital.com/,,"https://www.linkedin.com/in/luisbermejo/,https://www.linkedin.com/in/baradello/,https://www.linkedin.com/in/claudiobarahona/,https://www.linkedin.com/in/mario-barra-974283/,https://www.linkedin.com/in/rchari/,https://www.linkedin.com/in/luis-arturo-palacios-garcia-824a3b241/","https://www.linkedin.com/in/luisbermejo, https://www.linkedin.com/in/baradello, https://www.linkedin.com/in/claudiobarahona, https://www.linkedin.com/in/mario-barra-974283, https://www.linkedin.com/in/rchari, https://www.linkedin.com/in/luis-arturo-palacios-garcia-824a3b241"
Aligned Partners,Technology,"Menlo Park, CA",Early Stage Venture,http://www.alignedvc.com,,https://www.linkedin.com/in/jodijahic/,https://www.linkedin.com/in/jodijahic
Allos Ventures,"Technology, Manufacturing, Healthcare","Carmel, IN","Early Stage Venture, Late Stage Venture",http://www.allosventures.com,,"https://www.linkedin.com/in/john-mcilwraith-8663273/,https://www.linkedin.com/in/don-aquilano-2327124/,https://www.linkedin.com/in/david-kerr-9b0b501/","https://www.linkedin.com/in/john-mcilwraith-8663273, https://www.linkedin.com/in/don-aquilano-2327124, https://www.linkedin.com/in/david-kerr-9b0b501"
Almanac Investments,"Agriculture, Food, Hospitality","New York, NY",Early Stage Venture,http://www.almanacinvest.com,,https://www.linkedin.com/in/zoe-r-feldman,https://www.linkedin.com/in/zoe-r-feldman
Alpha Bridge Ventures,Information Technology,"San Francisco, CA","Early Stage, Early Stage: Seed, Early Stage: Start-up",www.alphabridge.squarespace.com,,"https://www.linkedin.com/in/howiediamond, https://www.linkedin.com/in/jakeschapman","https://www.linkedin.com/in/howiediamond, https://www.linkedin.com/in/jakeschapman"
Alpha Tech Ventures,"High-Tech, Industrial, Internet, IT, Media, Network, Software, Technology, Telecom Media","San Francisco, CA",Early Stage: Seed,www.oatv.com,,https://www.linkedin.com/in/atbryce,https://www.linkedin.com/in/atbryce
Alpha Venture Partners,"E-Commerce, Mobile, Social, Business Process Outsourcing, Information Services, Technology","New York, NY","Expansion / Late Stage, Growth",www.alphavp.com,,"https://www.linkedin.com/in/stevebrotman/,https://www.linkedin.com/in/smiga/,https://www.linkedin.com/in/oliver-henry-11ba97ba/,https://www.linkedin.com/in/michelle-modest/","https://www.linkedin.com/in/stevebrotman, https://www.linkedin.com/in/smiga, https://www.linkedin.com/in/oliver-henry-11ba97ba, https://www.linkedin.com/in/michelle-modest"
AlphaPrime Ventures,"Business Services, Information Technology, Telecoms, Media, Communications","New York, NY","Early Stage, Early Stage: Seed, Early Stage: Start-up",www.alphaprime.com,,https://www.linkedin.com/in/apiol,https://www.linkedin.com/in/apiol
Alpine Meridien,"Internet, Digital Media, FinTech, Data, Software, E-Commerce","New York, NY","Early Stage Venture, Seed",www.alpinemeridian.com,,https://www.linkedin.com/in/bill-benedict-049a9,https://www.linkedin.com/in/bill-benedict-049a9
Alumni Ventures Group,"Technology, Healthcare","Manchester, NH","Early Stage Venture, Seed, Late Stage Venture",www.avgfunds.com/,,"https://www.linkedin.com/in/brianpkeil/,https://www.linkedin.com/in/mike-collins-362100/,https://www.linkedin.com/in/deeptechvc/,https://www.linkedin.com/in/laurarippy/,https://www.linkedin.com/in/meeraoak,https://www.linkedin.com/in/daniel-burns-699351190,https://www.linkedin.com/in/lukeantal/","https://www.linkedin.com/in/brianpkeil, https://www.linkedin.com/in/mike-collins-362100, https://www.linkedin.com/in/deeptechvc, https://www.linkedin.com/in/laurarippy, https://www.linkedin.com/in/meeraoak, https://www.linkedin.com/in/daniel-burns-699351190, https://www.linkedin.com/in/lukeantal"
Amaranthine Partners,Information Technology,"San Francisco, CA",Early Stage: Start-up,www.amaranthine.vc,,,"https://www.linkedin.com/in/davidkelly1000, https://www.linkedin.com/in/pmurphyirl"
Amasia,Diversified,"Burlingame, CA","Early Stage Venture, Late Stage Venture, Seed",https://www.amasia.vc,,"https://www.linkedin.com/in/ramananraghavendran,https://www.linkedin.com/in/john-kim-6241a16/,https://www.linkedin.com/in/yoonju-julie-jung/,https://www.linkedin.com/in/kentloi/,https://www.linkedin.com/in/alexandrkurilin/","https://www.linkedin.com/in/ramananraghavendran, https://www.linkedin.com/in/john-kim-6241a16, https://www.linkedin.com/in/yoonju-julie-jung, https://www.linkedin.com/in/kentloi, https://www.linkedin.com/in/alexandrkurilin"
Ambition,"Enterprise Software, Gamification, SaaS, Sales","Chattanooga, TN",Seed,www.tryambition.com,,"https://www.linkedin.com/in/travistruett, https://www.linkedin.com/in/brian-trautschold-97518219","https://www.linkedin.com/in/travistruett, https://www.linkedin.com/in/brian-trautschold-97518219"
Amino Capital,"Technology, Internet, Media","Palo Alto, CA","Early Stage Venture, Seed",www.aminocapital.com,"https://www.linkedin.com/in/larryli, https://www.linkedin.com/in/suexu, https://www.linkedin.com/in/huican-zhu-7064222, https://www.linkedin.com/in/dr-maximilian-ibel","https://www.linkedin.com/in/larryli,https://www.linkedin.com/in/suexu,https://www.linkedin.com/in/huican-zhu-7064222/,https://www.linkedin.com/in/yi-li-b540072b/,https://www.linkedin.com/in/mli1/","https://www.linkedin.com/in/larryli, https://www.linkedin.com/in/suexu, https://www.linkedin.com/in/huican-zhu-7064222, https://www.linkedin.com/in/dr-maximilian-ibel, https://www.linkedin.com/in/yi-li-b540072b, https://www.linkedin.com/in/mli1"
AmityVentures,Information Technology,"San Francisco, CA","Early Stage, Early Stage: Start-up, Venture (General)",www.amityventures.com,,"https://www.linkedin.com/in/patrick-z-yang, https://www.linkedin.com/in/andyrav, https://www.linkedin.com/in/james-c-lee-58645023b, https://www.linkedin.com/in/cjreim","https://www.linkedin.com/in/patrick-z-yang, https://www.linkedin.com/in/andyrav, https://www.linkedin.com/in/james-c-lee-58645023b, https://www.linkedin.com/in/cjreim"
Amplify,"Media, Technology","Venice, CA","Early Stage Venture, Seed",http://www.amplify.la,,"https://www.linkedin.com/in/marckravets, https://www.linkedin.com/in/connorsundberg, https://www.linkedin.com/in/katie-dean-9a13a510a","https://www.linkedin.com/in/marckravets, https://www.linkedin.com/in/connorsundberg, https://www.linkedin.com/in/katie-dean-9a13a510a"
Amplo,Diversified,"Spring, TX","Early Stage, Early Stage: Seed",amplovc.com,,https://www.linkedin.com/in/sheeltyle,https://www.linkedin.com/in/sheeltyle
Anchor,N/A,"Raleigh, NC",,www.anchorcap.us,,,"https://www.linkedin.com/in/anchorcap, https://www.linkedin.com/in/benwinstead"
AngelPad,"Technology, Healthcare","San Francisco, CA",Seed,http://www.angelpad.org,,"https://www.linkedin.com/in/thomaskorte/,https://www.linkedin.com/in/carinemagescas/","https://www.linkedin.com/in/thomaskorte, https://www.linkedin.com/in/carinemagescas"
Angels Unleashed,"Technology, Internet, Electronics, Education","Menlo Park, CA","Early Stage Venture, Seed, Late Stage Venture",http://www.angelsunleashed.co.uk,,,"https://www.linkedin.com/in/paul-singh-f-inst-r-mashrae-42b34526, https://www.linkedin.com/in/ken-chaproniere-a344791, https://www.linkedin.com/in/anujtanna, https://www.linkedin.com/in/rachaelcatsmith, https://www.linkedin.com/in/damien-maltarp-32a7551, https://www.linkedin.com/in/achinamayya, https://www.linkedin.com/in/premkumarbarthasarathy, https://www.linkedin.com/in/arunkumarkrishnakumar, https://www.linkedin.com/in/kirankumarpillala"
Antecedent Ventures,Information Technology,"New York, NY","Early Stage, Early Stage: Seed",www.antecedent.vc,,,https://www.linkedin.com/in/sbberg1
Apertue Venture Partners,"Healthcare, Information Technology","New York, NY","Early Stage, Expansion/Late Stage, Venture (General)",www.aperturevp.com,,https://www.linkedin.com/in/thomas-cooper-506238b,https://www.linkedin.com/in/thomas-cooper-506238b
Arab Angel Fund,"Technology, Consumer Services, Financial Services, Internet","Washington, D.C.","Seed, Series A",www.arabangel.vc,,"https://www.linkedin.com/in/kylehendrick,https://www.linkedin.com/in/odarwazah/","https://www.linkedin.com/in/kylehendrick, https://www.linkedin.com/in/odarwazah"
